,county_lat,county_lon,population,BA,cesm_lat,cesm_lon
459,44.06467837368172,-83.89409289856796,15068.0,MISO-0027,44.0816206793393,-83.79270509831247
460,38.31890354297454,-85.90680507675826,82153.0,MISO-0006,38.39070382767552,-86.04270509831252
461,31.676530213706744,-92.16033034656645,15154.0,MISO-8910,31.687539453670322,-92.25
462,32.47828160905873,-92.15494983533507,158542.0,MISO-8910,32.437287243216325,-92.25
463,32.41776631248926,-91.76372902538124,19582.0,MISO-8910,32.44577546901773,-91.70729490168753
464,29.869386780442927,-89.55523680658293,45642.0,MISO-8910,29.791596822570934,-89.45729490168753
465,35.58063487417075,-92.51561179694453,16238.0,MISO-8910,35.4323922064244,-92.45729490168753
466,43.31092995370611,-85.15234156854608,69406.0,MISO-0027,43.4033471745281,-85.29270509831247
467,43.2911720632336,-86.15185388144793,177901.0,MISO-0027,43.231414977737614,-86.25
468,42.46874209756553,-90.88242314739735,99381.0,MISO-0035,42.5387210292614,-90.95729490168753
469,43.059874333474994,-92.78900680414866,14901.0,MISO-0035,42.92333893336809,-92.79270509831247
470,41.483944200852875,-91.1128064571284,41853.0,MISO-0035,41.453326678737085,-90.95729490168753
471,43.37856959764051,-95.62366604849866,5980.0,MISO-0035,43.37004850837949,-95.45729490168753
472,41.685404395893485,-93.57349573996096,516546.0,MISO-0035,41.73825606241123,-93.54270509831247
473,41.686351150344244,-92.53144756366741,18368.0,MISO-0035,41.766516316730204,-92.45729490168753
474,44.33289772055463,-86.05688398561207,25656.0,MISO-0027,44.38892394833063,-86.04270509831252
475,43.28412132335278,-91.37800168771204,14238.0,MISO-0035,43.285425990346994,-91.29270509831247
476,42.47000184679312,-92.3087999335805,131532.0,MISO-0035,42.52069205662085,-92.25
477,42.47071706755335,-91.83783005176215,20883.0,MISO-0035,42.53003176524917,-91.70729490168753
478,43.673943494425146,-92.09016542900545,21540.0,MISO-0001,43.689103247501556,-92.04270509831247
479,45.01699955482907,-93.0995997800618,541623.0,MISO-0001,44.960712147569026,-93.0
480,31.477213966777544,-90.89791675415373,7491.0,MISO-8910,31.496437160999847,-90.95729490168753
481,31.214144066271206,-88.63916466268067,13707.0,MISO-8910,31.28623228589873,-88.70729490168753
482,46.447398732757385,-103.45999099292024,628.0,MISO-0001,46.44514391543879,-103.53224253528163
483,42.36574201474228,-90.21237055693645,21594.0,MISO-0001,42.207108294408336,-90.20729490168753
484,41.616610270110606,-86.2898650591702,272861.0,MISO-0006,41.73169377469231,-86.25
485,41.280911698791954,-86.64772738728473,23425.0,MISO-0006,41.20548093159086,-86.79270509831252
486,46.607251118938606,-93.41533445753566,16252.0,MISO-0001,46.6567960092604,-93.40391696915628
487,37.518226700723055,-88.26688704850379,3588.0,MISO-0004,37.48771380077751,-88.29270509831247
488,37.412514617545476,-88.5614775008912,3672.0,MISO-0004,37.490516382731634,-88.5
489,42.24536744654437,-85.53118176665228,263795.0,MISO-0027,42.11927991652266,-85.5
490,40.81785399090419,-90.92522339305071,5984.0,MISO-0004,40.70334095727983,-90.95729490168753
491,46.93464874846428,-95.67394237784363,35497.0,MISO-0001,46.90421456654441,-95.63594045614616
492,43.6405115036696,-84.84678462017558,64691.0,MISO-0027,43.586996490296414,-84.75
493,39.2058988077735,-85.89764119529889,85729.0,MISO-0006,39.140319427195344,-86.04270509831252
494,40.582789155808626,-86.56343546772426,20655.0,MISO-0006,40.653118762538966,-86.45729490168753
495,39.758111095776194,-89.65906759578742,194170.0,MISO-0004,39.749815642237145,-89.79270509831247
496,38.024882956539265,-87.58583850351376,181995.0,MISO-0006,38.01712618778109,-87.54270509831252
497,39.85351269329569,-87.46394994259101,15488.0,MISO-0006,39.93134911253357,-87.54270509831252
498,40.845484311369916,-85.79398504573817,30713.0,MISO-0006,40.96300755773983,-85.70729490168753
499,42.6028176842692,-83.91151663807555,197315.0,MISO-0027,42.5931521276288,-84.0
500,40.78820611471769,-89.21109199521564,38111.0,MISO-0004,40.70486798125537,-89.25
501,40.0101132311429,-88.59117562814295,16791.0,MISO-0004,39.94762831216354,-88.5
502,38.05205450679413,-89.82516045454513,29921.0,MISO-0004,38.04252310298232,-89.79270509831247
