unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_solar_012,01,49.9,0.0,,,MISO_01_solar_012,
MISO_01_solar_013,01,26.1,0.0,,,MISO_01_solar_013,
MISO_01_solar_014,01,2.0,0.0,,,MISO_01_solar_014,
MISO_01_solar_015,01,3.0,0.0,,,MISO_01_solar_015,
MISO_01_solar_016,01,8.0,0.0,,,MISO_01_solar_016,
MISO_01_solar_017,01,2.5,0.0,,,MISO_01_solar_017,
MISO_01_solar_018,01,6.0,0.0,,,MISO_01_solar_018,
MISO_01_solar_019,01,19.0,0.0,,,MISO_01_solar_019,
MISO_01_solar_020,01,5.0,0.0,,,MISO_01_solar_020,
MISO_01_solar_021,01,18.0,0.0,,,MISO_01_solar_021,
MISO_01_solar_022,01,3.0,0.0,,,MISO_01_solar_022,
MISO_01_solar_023,01,2.0,0.0,,,MISO_01_solar_023,
MISO_01_solar_024,01,8.0,0.0,,,MISO_01_solar_024,
MISO_01_solar_025,01,11.0,0.0,,,MISO_01_solar_025,
MISO_01_solar_026,01,1.4,0.0,,,MISO_01_solar_026,
MISO_01_solar_027,01,7.5,0.0,,,MISO_01_solar_027,
MISO_01_solar_028,01,6.8,0.0,,,MISO_01_solar_028,
MISO_01_solar_029,01,2.5,0.0,,,MISO_01_solar_029,
MISO_01_solar_030,01,2.0,0.0,,,MISO_01_solar_030,
MISO_01_solar_031,01,1.0,0.0,,,MISO_01_solar_031,
MISO_01_solar_032,01,169.3,0.0,,,MISO_01_solar_032,
MISO_01_solar_033,01,5.0,0.0,,,MISO_01_solar_033,
MISO_01_solar_034,01,15.899999999999999,0.0,,,MISO_01_solar_034,
MISO_01_solar_035,01,3.0,0.0,,,MISO_01_solar_035,
MISO_01_solar_036,01,248.1,0.0,,,MISO_01_solar_036,
MISO_01_solar_037,01,284.0,0.0,,,MISO_01_solar_037,
MISO_01_solar_038,01,23.0,0.0,,,MISO_01_solar_038,
MISO_01_solar_039,01,7.0,0.0,,,MISO_01_solar_039,
MISO_01_solar_040,01,22.0,0.0,,,MISO_01_solar_040,
MISO_01_solar_041,01,12.0,0.0,,,MISO_01_solar_041,
MISO_01_solar_042,01,2.0,0.0,,,MISO_01_solar_042,
MISO_01_solar_043,01,1.0,0.0,,,MISO_01_solar_043,
MISO_01_solar_044,01,2.5,0.0,,,MISO_01_solar_044,
MISO_01_solar_046,01,26.5,0.0,,,MISO_01_solar_046,
MISO_01_solar_047,01,1.0,0.0,,,MISO_01_solar_047,
MISO_01_solar_048,01,14.4,0.0,,,MISO_01_solar_048,
MISO_01_solar_049,01,35.8,0.0,,,MISO_01_solar_049,
MISO_01_solar_050,01,26.6,0.0,,,MISO_01_solar_050,
MISO_01_solar_051,01,7.9,0.0,,,MISO_01_solar_051,
MISO_01_solar_052,01,7.0,0.0,,,MISO_01_solar_052,
